Manufacturer,DeviceName,PowerFactor
Hisense,Hisense Split,4
Hisense,Hisense Split,6
Hisense,Hisense Split,8
Hisense,Hisense Split,10
Hisense,Hisense Split,12
Hisense,Hisense Split,16
Hisense,Integra Spilt,4
Hisense,Integra Spilt,6
Hisense,Integra Spilt,8
Hisense,Integra Spilt,10
Hisense,Monoblck,4
Hisense,Monoblck,8
Hisense,Monoblck,10
Hisense,Monoblck,12
Hisense,Energy Pro X ,2.6/3.2
Hisense,Energy Pro X ,3.5/4.2
Hisense,Unipure ,2.6/3.0
Hisense,Unipure ,3.5/3.9
Hisense,Unipure ,5.0/5.4
Hisense,Unipure ,7.0/6.8
Hisense,Energy SE ,2.6/3.0
Hisense,Energy SE ,3.5/3.9
Hisense,Energy SE ,5.0/5.4
Hisense,Energy SE ,7.0/6.8
Hisense,Mini Apple Pie ,2.6/2.8
Hisense,Mini Apple Pie ,3.5/4.1
Hisense,Mini Apple Pie ,5.0/5.6
Hisense,Mini Apple Pie ,7.0/7.1
Hisense,Easy Smart ,2.6/2.7
Hisense,Easy Smart ,3.4/3.8
Hisense,Easy Smart ,5.0/5.6
Hisense,Easy Smart ,6.5/7.1
